,Title,Author,Published,Link
131,"""There are several different castes, you know?"" South Asian tutors? experiences of delivering a self-management programme to Punjabi Sikhs","Turner, A. P.",2015,https://pureportal.coventry.ac.uk/en/publications/there-are-several-different-castes-you-know-south-asian-tutors-ex-2
132,"Taste and See: Protocol for a church-based, intuitive eating programme","Lycett, D.",2015,https://pureportal.coventry.ac.uk/en/publications/taste-and-see-protocol-for-a-church-based-intuitive-eating-progra
133,Taste and See: A Church-based programme for a healthy relationship with food: Preliminary results of a Feasibility Study,"Patel, R.",2015,https://pureportal.coventry.ac.uk/en/publications/taste-and-see-a-church-based-programme-for-a-healthy-relationship-2
134,"Surviving cancer: pilot of a web-based self-management support programme, eHOPE","Turner, A.",Nov 2015,https://pureportal.coventry.ac.uk/en/publications/surviving-cancer-pilot-of-a-web-based-self-management-support-pro-2
135,Qualitative evaluation of a self-management intervention for people in the early stage of dementia,"Turner, A.",1 Jul 2015,https://pureportal.coventry.ac.uk/en/publications/qualitative-evaluation-of-a-self-management-intervention-for-peop
136,Optimising self-management to reduce chronic pain and disability after cardiac surgery,"Turner, A. P.",2015,https://pureportal.coventry.ac.uk/en/publications/optimising-self-management-to-reduce-chronic-pain-and-disability--2
137,An evaluation of a self-management program for patients with long-term conditions,"Turner, A. P.",Feb 2015,https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-a-self-management-program-for-patients-with-long-2
138,A co-produced self-management programme improves psychosocial outcomes for people living with depression,"Turner, A.",14 Dec 2015,https://pureportal.coventry.ac.uk/en/publications/a-co-produced-self-management-programme-improves-psychosocial-out
139,‘Weight loss through the eyes of The Creator’ Participants’ experience of a UK Christian weight management programme,"Patel, R.",2016,https://pureportal.coventry.ac.uk/en/publications/weight-loss-through-the-eyes-of-the-creator-participants-experien
140,The efficacy of interventions to improve psychosocial outcomes following surgical treatment for breast cancer: A systematic review and meta-analysis,"Turner, A.",2 Aug 2016,https://pureportal.coventry.ac.uk/en/publications/the-efficacy-of-interventions-to-improve-psychosocial-outcomes-fo-2
141,Technology-Enabled Remote Monitoring and Self-Management — Vision for Patient Empowerment Following Cardiac and Vascular Surgery: User Testing and Randomized Controlled Trial Protocol,,1 Aug 2016,https://pureportal.coventry.ac.uk/en/publications/technology-enabled-remote-monitoring-and-self-management-vision-f-2
142,"Protocol of Taste and See: A Feasibility Study of a Church-Based, Healthy, Intuitive Eating Programme","Lycett, D.",22 Apr 2016,https://pureportal.coventry.ac.uk/en/publications/protocol-of-taste-and-see-a-feasibility-study-of-a-church-based-h-2
143,"Health, not weight loss, focused programmes (HNWL) versus conventional weight loss programmes (CWL) on cardiovascular risk factors: A Cochrane review","Lycett, D.",26 Feb 2016,https://pureportal.coventry.ac.uk/en/publications/health-not-weight-loss-focused-programmes-hnwl-versus-conventiona
144,Development and feasibility of the Help to Overcome Problems Effectively (HOPE) self-management intervention for people living with multiple sclerosis,"Turner, A.",9 Jun 2016,https://pureportal.coventry.ac.uk/en/publications/development-and-feasibility-of-the-help-to-overcome-problems-effe-2
145,Spreading HOPE: The Development of a Hope-Based Self-Management Intervention,"Turner, A.",Sept 2017,https://pureportal.coventry.ac.uk/en/publications/spreading-hope-the-development-of-a-hope-based-self-management-in
146,Predictors of satisfaction and quality of life following post-mastectomy breast reconstruction,"Renshaw, D.",1 Nov 2017,https://pureportal.coventry.ac.uk/en/publications/predictors-of-satisfaction-and-quality-of-life-following-post-mas
147,"Moving Forward in Their Journey: Participants’ Experience of Taste & See, A Church-Based Programme to Develop a Healthy Relationship with Food","Patel, R.",19 Jan 2017,https://pureportal.coventry.ac.uk/en/publications/moving-forward-in-their-journey-participants-experience-of-taste--2
148,Follow-up after curative treatment for colorectal cancer: Longitudinal evaluation of patient initiated follow-up in the first 12 months,"Turner, A.",14 Feb 2017,https://pureportal.coventry.ac.uk/en/publications/follow-up-after-curative-treatment-for-colorectal-cancer-longitud
149,A Feasibility Study of Taste & See: A Church Based Programme to Develop a Healthy Relationship with Food,"Patel, R.",18 Feb 2017,https://pureportal.coventry.ac.uk/en/publications/a-feasibility-study-of-taste-amp-see-a-church-based-programme-to--2
150,“It’s a silver lining”: A template analysis of satisfaction and quality of life following post-mastectomy breast reconstruction,"Turner, A.",May 2018,https://pureportal.coventry.ac.uk/en/publications/its-a-silver-lining-a-template-analysis-of-satisfaction-and-quali
151,Postoperative Remote Automated Monitoring: Need for and State of the Science,,Jul 2018,https://pureportal.coventry.ac.uk/en/publications/postoperative-remote-automated-monitoring-need-for-and-state-of-t
152,Self-management support intervention for parents of children with developmental disorders: The role of gratitude and hope,"Pearce, G.",13 Apr 2019,https://pureportal.coventry.ac.uk/en/publications/self-management-support-intervention-for-parents-of-children-with
153,"Health, not weight loss, focused programmes versus conventional weight loss programmes for cardiovascular risk factors: A systematic review and meta-analysis","Lycett, D.",10 Aug 2019,https://pureportal.coventry.ac.uk/en/publications/health-not-weight-loss-focused-programmes-versus-conventional-wei-3
154,Do South Asian Communities ‘Act FAST’?,"Turner, A.",Jun 2019,https://pureportal.coventry.ac.uk/en/publications/do-south-asian-communities-act-fast
155,Help to Overcome Problems Effectively for Cancer Survivors: Development and Evaluation of a Digital Self-Management Program,"Wright, H.",19 May 2020,https://pureportal.coventry.ac.uk/en/publications/help-to-overcome-problems-effectively-for-cancer-survivors-develo
156,"Unmet supportive care needs of breast, colorectal and testicular cancer survivors in the first 8 months post primary treatment: A prospective longitudinal survey","Turner, A.",Nov 2021,https://pureportal.coventry.ac.uk/en/publications/unmet-supportive-care-needs-of-breast-colorectal-and-testicular-c
157,iHOPE for PCOS: Quantitative evaluation of a pilot online peer support intervention for polycystic ovary syndrome,"Percy, C.",29 Jun 2021,https://pureportal.coventry.ac.uk/en/publications/ihope-for-pcos-quantitative-evaluation-of-a-pilot-online-peer-sup
158,An interpretative phenomenological study exploring the lived experiences of participation in a mindfulness and compassion course,"Percy, C.",30 Jun 2021,https://pureportal.coventry.ac.uk/en/publications/an-interpretative-phenomenological-study-exploring-the-lived-expe
159,A Digital Self-management Program (Help to Overcome Problems Effectively) for People Living With Cancer: Feasibility Randomized Controlled Trial ,"Wright, H.",5 Nov 2021,https://pureportal.coventry.ac.uk/en/publications/a-digital-self-management-program-help-to-overcome-problems-effec
160,Digital Peer-Supported Self-Management Intervention Codesigned by People With Long COVID: Mixed Methods Proof-of-Concept Study,"Wright, H.",14 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/digital-peer-supported-self-management-intervention-codesigned-by
161,Development of a Self-Management Intervention for Memory Changes Linked to Androgen Deprivation Therapy for Prostate Cancer,"Turner, A.",26 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/development-of-a-self-management-intervention-for-memory-changes-
162,Development of an online self-management intervention based on a CBT approach for people with schizophrenia in Indonesia,"Sari, S. P.",2022,https://pureportal.coventry.ac.uk/en/publications/development-of-an-online-self-management-intervention-based-on-a-
163,Can a digital intervention boost resilience in informal networks of survivors of sexual violence?,"West, S.",25 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/can-a-digital-intervention-boost-resilience-in-informal-networks-
164,Acute paediatric inpatient care of children and young people admitted with self-harm or eating disorders:  A single centre evaluation,"Turner, A.",15 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/acute-paediatric-inpatient-care-of-children-and-young-people-admi
165,Preferences for Digital Intervention in People with Schizophrenia,"Sari, S. P.",2023,https://pureportal.coventry.ac.uk/en/publications/preferences-for-digital-intervention-in-people-with-schizophrenia
166,Needs of parents and carers of children and young people with mental health difficulties:  protocol for a systematic review,"Dahmash, D.",16 Feb 2023,https://pureportal.coventry.ac.uk/en/publications/needs-of-parents-and-carers-of-children-and-young-people-with-men
167,Wave reflection predicts cardiovascular events in hypertensive individuals independent of blood pressure and other cardiovascular risk factors: an ASCOT (Anglo-Scandinavian Cardiac Outcome Trial) substudy,"Tapp, R. J.",29 Jun 2010,https://pureportal.coventry.ac.uk/en/publications/wave-reflection-predicts-cardiovascular-events-in-hypertensive-in
168,Tissue Doppler E/E' ratio is a powerful predictor of primary cardiac events in a hypertensive population: an ASCOT substudy,"Tapp, R. J.",Mar 2010,https://pureportal.coventry.ac.uk/en/publications/tissue-doppler-ee-ratio-is-a-powerful-predictor-of-primary-cardia
169,Is there a link between components of health-related functioning and incident impaired glucose metabolism and type 2 diabetes? The Australian Diabetes Obesity and Lifestyle (AusDiab) study,"Tapp, R. J.",Apr 2010,https://pureportal.coventry.ac.uk/en/publications/is-there-a-link-between-components-of-health-related-functioning-
170,"Health behaviours, socioeconomic status and diabetes incidence: the Australian Diabetes Obesity and Lifestyle Study (AusDiab)","Tapp, R. J.",Dec 2010,https://pureportal.coventry.ac.uk/en/publications/health-behaviours-socioeconomic-status-and-diabetes-incidence-the
171,Differential effects of antihypertensive treatment on left ventricular diastolic function: an ASCOT (Anglo-Scandinavian Cardiac Outcomes Trial) substudy,"Tapp, R. J.",27 Apr 2010,https://pureportal.coventry.ac.uk/en/publications/differential-effects-of-antihypertensive-treatment-on-left-ventri
172,"Risk of cardiovascular and all-cause mortality: impact of impaired health-related functioning and diabetes: the Australian Diabetes, Obesity and Lifestyle (AusDiab) study","Tapp, R. J.",May 2012,https://pureportal.coventry.ac.uk/en/publications/risk-of-cardiovascular-and-all-cause-mortality-impact-of-impaired
173,Prevention of type 2 diabetes and its complications in developing countries: a review,"Tapp, R. J.",Jun 2012,https://pureportal.coventry.ac.uk/en/publications/prevention-of-type-2-diabetes-and-its-complications-in-developing
174,The roadmap to close the gap for vision--diabetes-related eye care in the Indigenous Australian population,"Tapp, R. J.",Sept 2013,https://pureportal.coventry.ac.uk/en/publications/the-roadmap-to-close-the-gap-for-vision-diabetes-related-eye-care
175,"Psychosocial stress predicts abnormal glucose metabolism: the Australian Diabetes, Obesity and Lifestyle (AusDiab) study","Tapp, R. J.",Aug 2013,https://pureportal.coventry.ac.uk/en/publications/psychosocial-stress-predicts-abnormal-glucose-metabolism-the-aust
176,Differential effects of adiposity and childhood growth trajectories on retinal microvascular architecture,"Tapp, R. J.",Oct 2013,https://pureportal.coventry.ac.uk/en/publications/differential-effects-of-adiposity-and-childhood-growth-trajectori
177,Cluster randomised controlled trial of a peer-led lifestyle intervention program: study protocol for the Kerala diabetes prevention program,"Tapp, R.",4 Nov 2013,https://pureportal.coventry.ac.uk/en/publications/cluster-randomised-controlled-trial-of-a-peer-led-lifestyle-inter
178,Impact of adiposity on cardiac structure in adult life: the Childhood Determinants of Adult Health (CDAH) study,"Tapp, R. J.",1 Jul 2014,https://pureportal.coventry.ac.uk/en/publications/impact-of-adiposity-on-cardiac-structure-in-adult-life-the-childh
179,Effect of phacoemulsification on trabeculectomy function,"Tapp, R. J.",Jul 2014,https://pureportal.coventry.ac.uk/en/publications/effect-of-phacoemulsification-on-trabeculectomy-function
180,Retinal photography screening programs to prevent vision loss from diabetic retinopathy in rural and urban Australia: a review,"Tapp, R. J.",Feb 2015,https://pureportal.coventry.ac.uk/en/publications/retinal-photography-screening-programs-to-prevent-vision-loss-fro
181,Retinal arteriolar narrowing and incidence of knee replacement for osteoarthritis: a prospective cohort study,"Tapp, R. J.",Apr 2015,https://pureportal.coventry.ac.uk/en/publications/retinal-arteriolar-narrowing-and-incidence-of-knee-replacement-fo
182,Recommendations on the Use of Echocardiography in Adult Hypertension: A Report from the European Association of Cardiovascular Imaging (EACVI) and the American Society of Echocardiography (ASE),"Tapp, R. J.",Jul 2015,https://pureportal.coventry.ac.uk/en/publications/recommendations-on-the-use-of-echocardiography-in-adult-hypertens-2
183,Recommendations on the use of echocardiography in adult hypertension: a report from the European Association of Cardiovascular Imaging (EACVI) and the American Society of Echocardiography (ASE)†,"Tapp, R. J.",Jun 2015,https://pureportal.coventry.ac.uk/en/publications/recommendations-on-the-use-of-echocardiography-in-adult-hypertens
184,Impact of fetal growth and preterm birth on the retinal microvasculature in mid-adulthood,"Tapp, R. J.",May 2015,https://pureportal.coventry.ac.uk/en/publications/impact-of-fetal-growth-and-preterm-birth-on-the-retinal-microvasc
185,Impact of diabetes on eye care service needs: the National Indigenous Eye Health Survey,"Tapp, R. J.",1 Aug 2015,https://pureportal.coventry.ac.uk/en/publications/impact-of-diabetes-on-eye-care-service-needs-the-national-indigen
186,Impact of blood pressure on retinal microvasculature architecture across the lifespan: the Young Finns Study,"Tapp, R. J.",12 Feb 2015,https://pureportal.coventry.ac.uk/en/publications/impact-of-blood-pressure-on-retinal-microvasculature-architecture
187,Associations of Central and Peripheral Blood Pressure With Cardiac Structure and Function in an Adolescent Birth Cohort: The Avon Longitudinal Study of Parents and Children,"Tapp, R. J.",12 May 2015,https://pureportal.coventry.ac.uk/en/publications/associations-of-central-andperipheral-blood-pressurewith-cardiac-
188,Visual Impairment in Old and Very Old Community-dwelling Asian Adults,"Tapp, R.",Nov 2016,https://pureportal.coventry.ac.uk/en/publications/visual-impairment-in-old-and-very-old-community-dwelling-asian-ad
189,The Association of Type 2 Diabetes Mellitus with Cerebral Gray Matter Volume Is Independent of Retinal Vascular Architecture and Retinopathy,"Tapp, R. J.",26 May 2016,https://pureportal.coventry.ac.uk/en/publications/the-association-of-type-2-diabetes-mellitus-with-cerebral-gray-ma
190,Cost-effectiveness of a National Telemedicine Diabetic Retinopathy Screening Program in Singapore,"Tapp, R. J.",1 Dec 2016,https://pureportal.coventry.ac.uk/en/publications/cost-effectiveness-of-a-national-telemedicine-diabetic-retinopath
191,Gestational diabetes mellitus and retinal microvasculature,"Tapp, R. J.",18 Jan 2017,https://pureportal.coventry.ac.uk/en/publications/gestational-diabetes-mellitus-and-retinal-microvasculature
192,Baseline characteristics of participants in the Kerala Diabetes Prevention Program: a cluster randomized controlled trial of lifestyle intervention in Asian Indians,"Tapp, R. J.",May 2017,https://pureportal.coventry.ac.uk/en/publications/baseline-characteristics-of-participants-in-the-kerala-diabetes-p
193,Availability and variability in guidelines on diabetic retinopathy screening in Asian countries,"Tapp, R. J.",Oct 2017,https://pureportal.coventry.ac.uk/en/publications/availability-and-variability-in-guidelines-on-diabetic-retinopath
194,Omega-3 polyunsaturated fatty acids favourably modulate cardiometabolic biomarkers in type 2 diabetes: a meta-analysis and meta-regression of randomized controlled trials,"Tapp, R.",7 Jul 2018,https://pureportal.coventry.ac.uk/en/publications/omega-3-polyunsaturated-fatty-acids-favourably-modulate-cardiomet
195,Impact of Ideal Cardiovascular Health in Childhood on the Retinal Microvasculature in Midadulthood: Cardiovascular Risk in Young Finns Study,"Tapp, R. J.",16 Oct 2018,https://pureportal.coventry.ac.uk/en/publications/impact-of-ideal-cardiovascular-health-in-childhood-on-the-retinal
196,Effects of bariatric surgery on retinal microvascular architecture in obese patients,"Tapp, R. J.",5 Dec 2018,https://pureportal.coventry.ac.uk/en/publications/effects-of-bariatric-surgery-on-retinal-microvascular-architectur
197,Cardiometabolic Health Among Adult Offspring of Hypertensive Pregnancies: The Cardiovascular Risk in Young Finns Study,"Tapp, R. J.",6 Jan 2018,https://pureportal.coventry.ac.uk/en/publications/cardiometabolic-health-among-adult-offspring-of-hypertensive-preg
198,A peer-support lifestyle intervention for preventing type 2 diabetes in India: A cluster-randomized controlled trial of the Kerala Diabetes Prevention Program,"Tapp, R. J.",6 Jun 2018,https://pureportal.coventry.ac.uk/en/publications/a-peer-support-lifestyle-intervention-for-preventing-type-2-diabe
199,Targeted screening for prediabetes and undiagnosed diabetes in a community setting in India,"Tapp, R. J.",27 Jun 2019,https://pureportal.coventry.ac.uk/en/publications/targeted-screening-for-prediabetes-and-undiagnosed-diabetes-in-a-
200,Participant recruitment into a community-based diabetes prevention trial in India: Learnings from the Kerala Diabetes Prevention Program,"Tapp, R. J.",Sept 2019,https://pureportal.coventry.ac.uk/en/publications/participant-recruitment-into-a-community-based-diabetes-preventio
201,Associations of Retinal Microvascular Diameters and Tortuosity With Blood Pressure and Arterial Stiffness: United Kingdom Biobank,"Tapp, R. J.",Dec 2019,https://pureportal.coventry.ac.uk/en/publications/associations-of-retinal-microvascular-diameters-and-tortuosity-wi
202,Retinal Vascular Tortuosity and Diameter Associations with Adiposity and Components of Body Composition,"Tapp, R. J.",1 Sept 2020,https://pureportal.coventry.ac.uk/en/publications/retinal-vascular-tortuosity-and-diameter-associations-with-adipos
203,Prevalence of normal weight obesity and its associated cardio-metabolic risk factors - Results from the baseline data of the Kerala Diabetes Prevention Program (KDPP),"Tapp, R. J.",25 Aug 2020,https://pureportal.coventry.ac.uk/en/publications/prevalence-of-normal-weight-obesity-and-its-associated-cardio-met
204,Obesity indicators that best predict type 2 diabetes in an Indian population: insights from the Kerala Diabetes Prevention Program,"Tapp, R. J.",2020,https://pureportal.coventry.ac.uk/en/publications/obesity-indicators-that-best-predict-type-2-diabetes-in-an-indian
205,Effects of a lifestyle intervention on cardiovascular risk among high-risk individuals for diabetes in a low- and middle-income setting: Secondary analysis of the Kerala Diabetes Prevention Program,"Tapp, R. J.",Oct 2020,https://pureportal.coventry.ac.uk/en/publications/effects-of-a-lifestyle-intervention-on-cardiovascular-risk-among-
206,Effect of a Peer-led Lifestyle Intervention on Individuals With Normal Weight Obesity: Insights From the Kerala Diabetes Prevention Program,"Tapp, R. J.",25 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/effect-of-a-peer-led-lifestyle-intervention-on-individuals-with-n
207,Digital eye syndrome : COVID-19,,2020,https://pureportal.coventry.ac.uk/en/publications/digital-eye-syndrome-covid-19
208,Cost-effectiveness of a lifestyle intervention in high-risk individuals for diabetes in a low- and middle-income setting: Trial-based analysis of the Kerala Diabetes Prevention Program,"Tapp, R. J.",4 Sept 2020,https://pureportal.coventry.ac.uk/en/publications/cost-effectiveness-of-a-lifestyle-intervention-in-high-risk-indiv
209,Benefit of lifestyle-based T2DM prevention is influenced by prediabetes phenotype,"Tapp, R. J.",Jul 2020,https://pureportal.coventry.ac.uk/en/publications/benefit-of-lifestyle-based-t2dm-prevention-is-influenced-by-predi
210,Proportion of newly diagnosed diabetes in COVID-19 patients: a systematic review and meta-analysis,"Tapp, R. J.",Mar 2021,https://pureportal.coventry.ac.uk/en/publications/proportion-of-newly-diagnosed-diabetes-in-covid-19-patients-a-sys
211,Potential metabolic and inflammatory pathways between COVID-19 and new-onset diabetes,"Tapp, R.",Mar 2021,https://pureportal.coventry.ac.uk/en/publications/potential-metabolic-and-inflammatory-pathways-between-covid-19-an
212,Investigation of associations between retinal microvascular parameters and albuminuria in UK Biobank: a cross-sectional case-control study,"Tapp, R.",25 Feb 2021,https://pureportal.coventry.ac.uk/en/publications/investigation-of-associations-between-retinal-microvascular-param
213,Genome-wide meta-analysis identifies 127 open-angle glaucoma loci with consistent effect across ancestries,,24 Feb 2021,https://pureportal.coventry.ac.uk/en/publications/genome-wide-meta-analysis-identifies-127-open-angle-glaucoma-loci
214,Do lifestyle interventions reduce diabetes incidence in people with isolated impaired fasting glucose?,"Tapp, R. J.",Dec 2021,https://pureportal.coventry.ac.uk/en/publications/do-lifestyle-interventions-reduce-diabetes-incidence-in-people-wi
215,Retinal microvascular associations with cardiometabolic risk factors differ by diabetes status: results from the UK Biobank,"Tapp, R. J.",Oct 2022,https://pureportal.coventry.ac.uk/en/publications/retinal-microvascular-associations-with-cardiometabolic-risk-fact
216,The long-term effects of Kerala Diabetes Prevention Program on diabetes incidence and cardiometabolic risk: a study protocol,"Tapp, R.",22 Mar 2023,https://pureportal.coventry.ac.uk/en/publications/the-long-term-effects-of-kerala-diabetes-prevention-program-on-di
217,Chaos Theory and its Application: An Essential Framework for Image Encryption,"Shah, S.",30 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/chaos-theory-and-its-application-an-essential-framework-for-image
218,Chaos‐based privacy preserving vehicle safety protocol for 5G Connected Autonomous Vehicle networks,"Shah, S.",14 May 2020,https://pureportal.coventry.ac.uk/en/publications/chaosbased-privacy-preserving-vehicle-safety-protocol-for-5g-conn
219,A review of the state of the art in non-contact sensing for covid-19,"Shah, S. A.",3 Oct 2020,https://pureportal.coventry.ac.uk/en/publications/a-review-of-the-state-of-the-art-in-non-contact-sensing-for-covid
220,A novel secure occupancy monitoring scheme based on multi-chaos mapping,"Shah, S.",1 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/a-novel-secure-occupancy-monitoring-scheme-based-on-multi-chaos-m
221,A Novel Hybrid Secure Image Encryption Based on Julia Set of Fractals and 3D Lorenz Chaotic Map,"Shah, S.",28 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/a-novel-hybrid-secure-image-encryption-based-on-julia-set-of-frac
222,An Intelligent Non-Invasive Real-Time Human Activity Recognition System for Next-Generation Healthcare,"Shah, S.",6 May 2020,https://pureportal.coventry.ac.uk/en/publications/an-intelligent-non-invasive-real-time-human-activity-recognition-
223,Wireless Channel Modelling for Identifying Six Types of Respiratory Patterns with SDR Sensing and Deep Multilayer Perceptron,"Saeed, U.",15 Sept 2021,https://pureportal.coventry.ac.uk/en/publications/wireless-channel-modelling-for-identifying-six-types-of-respirato
224,RF sensing for healthcare applications,"Shah, S. A.",16 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/rf-sensing-for-healthcare-applications
225,RF Sensing Based Breathing Patterns Detection Leveraging USRP Devices,"Shah, S. A.",2 Jun 2021,https://pureportal.coventry.ac.uk/en/publications/rf-sensing-based-breathing-patterns-detection-leveraging-usrp-dev
226,Radar Sensing for Activity Classification in Elderly People Exploiting Micro-Doppler Signatures using Machine Learning,"Shah, S. A.",4 Jun 2021,https://pureportal.coventry.ac.uk/en/publications/radar-sensing-for-activity-classification-in-elderly-people-explo
227,Privacy-Preserving Wandering Behaviour Sensing in Dementia Patients using Modiﬁed Logistic and Dynamic Newton Leipnik Maps,"Shah, S. A.",1 Feb 2021,https://pureportal.coventry.ac.uk/en/publications/privacy-preserving-wandering-behaviour-sensing-in-dementia-patien
228,Portable UWB RADAR Sensing System for Transforming Subtle Chest Movement into Actionable Micro-Doppler Signatures to Extract Respiratory Rate Exploiting ResNet Algorithm,"Saeed, U.",15 Oct 2021,https://pureportal.coventry.ac.uk/en/publications/portable-uwb-radar-sensing-system-for-transforming-subtle-chest-m
229,Performance Enhancement and Size Reduction of Vivaldi Antenna Using Defected Ground Structure for Active Phased Array Radar Applications,"Shah, S. A.",4 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/performance-enhancement-and-size-reduction-of-vivaldi-antenna-usi
230,Novel Ensemble Algorithm for Multiple Activity Recognition in Elderly People Exploiting Ubiquitous Sensing Devices,"Shah, S. A.",15 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/novel-ensemble-algorithm-for-multiple-activity-recognition-in-eld
231,Noninvasive Detection of Respiratory Disorder Due to COVID-19 at the Early Stages in Saudi Arabia,"Shah, S. A.",5 Nov 2021,https://pureportal.coventry.ac.uk/en/publications/noninvasive-detection-of-respiratory-disorder-due-to-covid-19-at-
232,JPEG Image Compression Using Multiple Core Strategy in FPGA achieving High Peak Signal to Noise Ratios,"Shah, S. A.",27 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/jpeg-image-compression-using-multiple-core-strategy-in-fpga-achie
233,Improving Machine Learning Classification Accuracy for Breathing Abnormalities by Enhancing Dataset,"Shah, S. A.",12 Oct 2021,https://pureportal.coventry.ac.uk/en/publications/improving-machine-learning-classification-accuracy-for-breathing-
234,Hybrid Workload Enabled and Secure Healthcare Monitoring Sensing Framework in Distributed Fog-Cloud Network,"Shah, S. A.",17 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/hybrid-workload-enabled-and-secure-healthcare-monitoring-sensing-
235,High Efficiency High Gain DC-DC Boost Converter Using PID Controller for Photovoltaic Applications,"Shah, S. A.",27 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/high-efficiency-high-gain-dc-dc-boost-converter-using-pid-control
236,Granular Data Access Control with a Patient-Centric Policy Update for Healthcare,"Shah, S. A.",20 May 2021,https://pureportal.coventry.ac.uk/en/publications/granular-data-access-control-with-a-patient-centric-policy-update
237,Editorial for the Special Issue on Security and Sensing Devices for Healthcare Technologies,"Shah, S. A.",27 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/editorial-for-the-special-issue-on-security-and-sensing-devices-f
238,Discrete Human Activity Recognition and Fall Detection by Combining FMCW RADAR Data of Heterogeneous Environments For Independent Assistive Living,"Saeed, U.",12 Sept 2021,https://pureportal.coventry.ac.uk/en/publications/discrete-human-activity-recognition-and-fall-detection-by-combini
239,Design of Portable Exoskeleton Forearm for Rehabilitation of Monoparesis Patients Using Tendon Flexion Sensing Mechanism for Health Care Applications,"Shah, S. A.",27 May 2021,https://pureportal.coventry.ac.uk/en/publications/design-of-portable-exoskeleton-forearm-for-rehabilitation-of-mono
240,Design of High-Performance X-Band Monopulse Comparator for Active Phased Array Radar Applications,"Shah, S. A.",4 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/design-of-high-performance-x-band-monopulse-comparator-for-active
241,Design of 15W X-Band GaN Based Transmit / Receive Module for Airborne Active Phased Array Radar Applications,"Shah, S. A.",27 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/design-of-15w-x-band-gan-based-transmit-receive-module-for-airbor
242,Data Aggregation and Privacy Preserving Using Computational Intelligence,"Shah, S. A.",Jun 2021,https://pureportal.coventry.ac.uk/en/publications/data-aggregation-and-privacy-preserving-using-computational-intel
243,Contactless Small-Scale Movement Monitoring System Using Software Defined Radio for Early Diagnosis of COVID-19,"Shaha, S. A.",1 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/contactless-small-scale-movement-monitoring-system-using-software
244,Clone detection in 5G-enabled social IoT system using graph semantics and deep learning model,"Shah, S. A.",Nov 2021,https://pureportal.coventry.ac.uk/en/publications/clone-detection-in-5g-enabled-social-iot-system-using-graph-seman
245,Wireless Sensing for Human Activity Recognition Using USRP,"Shah, S. A.",11 Feb 2022,https://pureportal.coventry.ac.uk/en/publications/wireless-sensing-for-human-activity-recognition-using-usrp
246,UWB Radar Sensing for Respiratory Monitoring Exploiting Time- Frequency Spectrograms,"Saeed, U.",May 2022,https://pureportal.coventry.ac.uk/en/publications/uwb-radar-sensing-for-respiratory-monitoring-exploiting-time-freq
247,RF Based Real Time Human Motion Sensing,"Shah, S. A.",16 Feb 2022,https://pureportal.coventry.ac.uk/en/publications/rf-based-real-time-human-motion-sensing
248,Real-Time Human Activity Recognition System Exploiting Ubiquitous Wi-Fi Signals,"Shah, S. A.",16 Feb 2022,https://pureportal.coventry.ac.uk/en/publications/real-time-human-activity-recognition-system-exploiting-ubiquitous
249,"Personalized wearable electrodermal sensing-based human skin hydration level detection for sports, health and wellbeing","Shah, S. A.",8 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/personalized-wearable-electrodermal-sensing-based-human-skin-hydr
250,Novel Privacy Preserving Non-Invasive Sensing-Based Diagnoses of Pneumonia Disease Leveraging Deep Network Model,"Shah, S. A.",8 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/novel-privacy-preserving-non-invasive-sensing-based-diagnoses-of-
251,Multiple Participants’ Discrete Activity Recognition in a Well-Controlled Environment Using Universal Software Radio Peripheral Wireless Sensing,"Saeed, U.",21 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/multiple-participants-discrete-activity-recognition-in-a-well-con
252,Monitoring Discrete Activities of Daily Living of Young & Older Adults using 5.8 GHz Frequency Modulated Continuous Wave Radar and ResNet Algorithm,"Saeed, U.",2022,https://pureportal.coventry.ac.uk/en/publications/monitoring-discrete-activities-of-daily-living-of-young-amp-older
253,Microwave and Terahertz Sensing,"Shah, S. A.",1 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/microwave-and-terahertz-sensing
